Frame_Number,Vehicle_ID,Vehicle_Bbox,License_Plate_Bbox,License_Plate_Bbox_Score,License_Number,License_Number_Score
119,1.0,[1026.8009092384748 577.7979994424704 1291.6535023662548 806.5009378925233],[1107.67138671875 710.8192138671875 1218.6259765625 771.783447265625],0.40965721011161804,AP05JEQ,0.5455334151837968
121,1.0,[1025.5381440720892 581.4390728307721 1293.2067438248725 812.5996517123256],[1112.83544921875 721.6544189453125 1210.9755859375 769.3145751953125],0.35117870569229126,AP05JEQ,0.19432621450050977
122,6.0,[435.13546013346803 775.0719198522595 823.3140939147129 1070.1732364448096],[560.506103515625 959.8260498046875 681.5159912109375 1019.5037841796875],0.29997682571411133,GT15OCJ,0.45131706464372257
124,6.0,[431.7732288012887 781.271442377122 822.5168604848859 1075.5745864954058],[562.101318359375 970.1182250976562 675.7449951171875 1024.97705078125],0.4920618236064911,GY15UGJ,0.1787282951824928
125,1.0,[1022.1573850172798 590.8944311015164 1296.0649316871197 822.981188574299],[1117.640869140625 724.3819580078125 1226.9609375 781.381591796875],0.39564985036849976,AP05JEO,0.474455498140806
126,1.0,[1023.4738345409472 593.2967387450567 1297.402668343207 825.9186568273014],[1119.49609375 728.5833740234375 1223.024658203125 783.6380615234375],0.5028941035270691,AP05JEO,0.14655917833220528
126,6.0,[428.5812697572606 790.3687583978544 822.6750219665098 1079.032493929414],[558.7227783203125 983.1827392578125 672.0429077148438 1037.7877197265625],0.488721638917923,GY15OGJ,0.4087574950976608
127,1.0,[1023.3003605048506 594.3249438163829 1298.2052421391281 827.4979782411041],[1119.52734375 730.25146484375 1225.40478515625 784.3423461914062],0.5452823042869568,AP05JEO,0.6474774642931828
127,6.0,[426.28894420438337 793.9129452234199 821.9024144224536 1078.8496298616296],[557.5380249023438 987.8911743164062 675.43505859375 1041.798095703125],0.5085004568099976,GY15OGJ,0.4856185827346856
128,1.0,[1023.942875328485 595.144963062977 1298.2524893541708 829.2923123582445],[1113.666259765625 731.2183837890625 1226.0428466796875 784.689208984375],0.45070984959602356,AP05JEQ,0.16674811713201987
129,1.0,[1023.6831161410371 597.0626376675068 1298.356361681312 832.3205352474672],[1135.1549072265625 733.796875 1224.4688720703125 784.85986328125],0.36149266362190247,AP05JEO,0.30415751247337186
129,33.0,[1120.492217367871 809.0748223834842 1486.395584285061 1077.1378563356263],[1252.64599609375 979.9892578125 1368.8902587890625 1049.8861083984375],0.3389703035354614,LM13VCV,0.2605344315865357
130,8.0,[559.2976930644679 550.4140019115001 807.7518507684554 765.0124118782229],[637.3463134765625 671.495849609375 722.046142578125 719.5541381835938],0.3493235409259796,KH05ZIK,0.27134723475969236
130,33.0,[1122.0790561758442 811.546182881381 1489.2650699770968 1076.1885835825456],[1252.965087890625 985.4771118164062 1370.5081787109375 1050.2392578125],0.34298455715179443,LH13VCV,0.23171937022498162
131,33.0,[1122.0193591862521 814.844467887217 1491.1468328517485 1075.8043593850953],[1257.19091796875 990.1761474609375 1366.278564453125 1048.948486328125],0.4106732904911041,LN13VCY,0.40321433021515674
132,1.0,[1024.0380870462411 603.2248842978995 1300.9497461586395 840.4697094668315],[1123.1373291015625 741.5381469726562 1228.650634765625 797.8507690429688],0.3877718150615692,AP05JED,0.40787025803011884
133,6.0,[414.474667271498 814.8833866352686 815.0522340434775 1079.4123648679363],[552.3165893554688 1014.9391479492188 667.6909790039062 1071.754638671875],0.3987557590007782,GX15OGJ,0.4482256023469633
133,1.0,[1024.6206319297007 604.3159467557361 1302.5444676076354 841.6233687563067],[1126.4443359375 745.60205078125 1234.360595703125 799.6656494140625],0.3175429105758667,AP05JEO,0.49139454666635396
133,33.0,[1122.1973829344668 821.3752806433943 1491.6990107745125 1076.5141723110132],[1257.3792724609375 999.2381591796875 1370.56103515625 1054.20458984375],0.3041220009326935,LM13VCV,0.28438248539202526
134,33.0,[1121.6236034781894 825.6241336322126 1492.3975948699706 1078.3441759113043],[1257.2083740234375 1006.461181640625 1372.68017578125 1066.91162109375],0.36097320914268494,LM13VCV,0.5272911145543551
136,1.0,[1021.4176139474989 609.0106758206925 1304.698344539037 847.5612071269015],[1122.734375 749.587646484375 1237.9534912109375 807.4141845703125],0.36910364031791687,AP05JEO,0.47602170732166155
137,33.0,[1124.983150776643 837.3197079000673 1497.5970298595848 1080.7293277007911],[1262.7109375 1011.583984375 1380.0517578125 1078.0548095703125],0.43789219856262207,LM13VCV,0.47346038154597236
137,1.0,[1022.0462907086257 611.3600847602297 1306.8450375479092 850.3974489858053],[1117.894287109375 753.0595703125 1233.702880859375 809.4959716796875],0.34514936804771423,AP05JEO,0.4718105983024765
138,1.0,[1023.622395708737 614.2686059942049 1308.4697122944656 853.5566157390073],[1120.6767578125 753.8717651367188 1239.0380859375 811.2914428710938],0.4488376975059509,AP05JEQ,0.5815240250026411
140,1.0,[1025.526455758661 616.5935031434109 1311.9138908827076 858.1256472554086],[1128.96728515625 755.6727905273438 1241.347900390625 809.3234252929688],0.32137253880500793,AP05JEO,0.6237998382015565
140,8.0,[544.5855670141648 564.5408856728288 801.040001683953 786.0332505774456],[622.3233642578125 686.28125 709.5489501953125 737.048095703125],0.2813515067100525,TM05ZIX,0.03294368146900988
141,1.0,[1024.7213419550542 618.7319617233615 1312.5123647517655 862.024102787975],[1126.8173828125 762.7402954101562 1238.8779296875 817.3386840820312],0.2528192102909088,AP05JEO,0.39642655191218346
142,8.0,[540.2875658062566 568.1854439013179 796.4867454907029 790.5523786949483],[625.756103515625 695.48193359375 708.70166015625 745.186279296875],0.40172886848449707,KH05ZZK,0.7020501702421067
143,1.0,[1022.9361045794269 621.3071385213694 1314.3511755899242 868.0807285832342],[1125.5091552734375 769.411865234375 1237.9461669921875 823.361083984375],0.36796876788139343,AP05JEO,0.734871114784963
145,1.0,[1023.6280479509815 626.1109805191276 1317.8670130200812 875.2377283726065],[1132.7276611328125 772.8973388671875 1236.083251953125 828.2017822265625],0.3954679071903229,AP05JEO,0.8749102071940883
146,1.0,[1024.540921831824 628.4975121545468 1319.1360629212668 878.598728061084],[1129.17333984375 774.0758056640625 1239.469482421875 830.6229858398438],0.46693697571754456,AP05JEO,0.13857172002080423
146,8.0,[535.9180037575793 576.8212836461183 793.4165371109966 799.9299527676402],[613.5454711914062 702.8656005859375 704.3006591796875 756.7890625],0.2516271471977234,KK05ZZK,0.12331160136724131
147,1.0,[1025.607749424827 630.6982938430765 1320.573294031698 882.4098402881386],[1133.016845703125 777.596435546875 1241.691162109375 832.48583984375],0.5254058241844177,AP05JEO,0.16947144430997332
148,8.0,[530.9980120560359 580.5126645448494 791.2345112378053 805.921274610337],[614.3765258789062 704.319091796875 708.479736328125 757.3087158203125],0.4628150463104248,KK05ZZK,0.09483739560969638
148,1.0,[1024.3341285505498 632.344693623981 1320.7260772333357 885.0830543277099],[1133.16015625 778.2469482421875 1243.1025390625 833.110107421875],0.45497584342956543,AP05JEO,0.8380353068844044
149,8.0,[530.5640011575408 581.58451763723 791.1533601034241 807.650120890502],[610.3456420898438 704.488525390625 703.61376953125 759.6285400390625],0.41386678814888,KN05ZIK,0.1339973538434262
149,1.0,[1025.671607690861 634.3698666688902 1323.4280340985565 888.6508061450686],[1133.7506103515625 783.9285278320312 1237.427490234375 835.1797485351562],0.4101322889328003,AP05JEO,0.1489225123080604
